id,posted_by,text,hashtags,in_reply_to_status_id
61724893384945664,Kaka,Let’s make Easter a special day feeding  hungry kids. Their future is in our hands. God bless you !! @wefeedback http://bit.ly/g3yBL8,[],
61400523856805889,Kaka,@VikSP thank you ...,[],61400142762352640
61399442305191938,Kaka,@aifauziah thank you .. Xxx,[],61399137161187328
61399042395095040,Kaka,@Reniicor thank you ..,[],
61398810559131648,Kaka,@vickyy_xo thank you .. Xxx,[],61398140632305664
61398626097827841,Kaka,@NizumLovesKaka I ll try to twit more often ..,[],61398120843575297
61397440665894912,Kaka,@darshitgajjar it s true !! Tks ..,[],61397136356540416
61397233161076736,Kaka,@bardac tks bro ..,[],61396988234706944
61396731098710016,Kaka,@Nello69 thank you ..,[],61396638085824512
61396420418224128,Kaka,@ricardonun thank you so much ..,[],61395907123494912
61396002145439744,Kaka,@Rielettle thank you !!,[],61395873795555328
61395332881321984,Kaka,@christywindy thank you .. Xxx,[],61395171421597696
61395240363372544,Kaka,@RyanBabel thank you !,[],61395093432700928
61394579118768128,Kaka,Have a nice April 22 !! It s very nice reeive all these messages. Thank you every one.,[],
60837838106796032,Kaka,Campeon !! Campeon !! #halamadrid http://plixi.com/p/94320149,"[{u'indices': [22, 33], u'text': u'halamadrid'}]",
52300668173697025,Kaka,"Good morning !! Very important week for my knee, I hope everything goes well .. God bless. Have a nice week everyone !!",[],
50210862698463232,Kaka,"Thank you for feeding back, help me reaching the mark of 100.000 kids. Together we are better.... http://fb.me/P6gFlooK",[],
50207676122152960,Kaka,feeding 900 hungry children with the cost of my favorite meal. How many can YOU feed? #wefeedback... http://fb.me/vTGQg0Jq,"[{u'indices': [86, 97], u'text': u'wefeedback'}]",
48148288406425600,Kaka,"Congrats guys, great Victory 3x0. We are in the next round of Champions League !! #halamadrid","[{u'indices': [82, 93], u'text': u'halamadrid'}]",
48016190995578881,Kaka,"After reaching 3 million followers on Twitter, now was the time to reach 6 million on FaceBook! Thank you guys ...",[],
47769000511414272,Kaka,"What sad news about Eric Abidal, tumor in the liver ! Let 's pray for him .. God bless !!",[],
47736261649252352,Kaka,@r_stimpy @dkotscho2 Show do u2 em breve !!,[],47735357067890688
