id,posted_by,text,hashtags,in_reply_to_status_id
421707531439071233,Rihanna,Is it phucking FRIDAY????!!! That means LONE SURVIVOR is in theaters today!!,[],
420655403383660545,Rihanna,“@i_love_RiRi: 5 weeks at #1?” Silly right? #Jah,"[{u'indices': [44, 48], u'text': u'Jah'}]",420654169251266560
420653967090401280,Rihanna,Congrats on #Monster being the #1 song on @billboard #Hot100 again this week! #navy @eminem,"[{u'indices': [12, 20], u'text': u'Monster'}, {u'indices': [53, 60], u'text': u'Hot100'}, {u'indices': [78, 83], u'text': u'navy'}]",
420653451593662464,Rihanna,"RT @RihannaDiva: The Monster this week:
#1 Hot 100
#1 Radio Songs
#1 Pop Songs
#1 Hot R&amp;B/Hip-Hop Songs
#1 R&amp;B/Hip-Hop Digital Songs
#1 Rap…",[],
420653399072604160,Rihanna,"RT @RihannaDiva: ""The Monster"" is also:
#1 Rap Streaming Songs
#1 Rhythmic Songs
#1 Youtube
#2 Digital Songs",[],
420202599015800832,Rihanna,“@Javiroo: 14-01-2014 :: @shakira - Can't Remember To Forget (feat. @rihanna )” ACTUALLY I just found out you'll have it by the 13th! #1week,"[{u'indices': [134, 140], u'text': u'1week'}]",420152055626334208
420155844668706816,Rihanna,RT @Javiroo: 14-01-2014 :: @shakira - Can't Remember To Forget (feat. @rihanna ),[],
420009118712471552,Rihanna,Alcohol is the devil and I need Chinese food,[],
420007727713501184,Rihanna,Hung. Over.,[],
418094623794679808,Rihanna,RT @chartnews: Diamonds became @Rihanna’s 11th 3 million-seller -- more than any other artist in US digital history. #2013chartrecap,"[{u'indices': [117, 132], u'text': u'2013chartrecap'}]",
415393722906722304,Rihanna,“@cuntlifex: eight albums?!” She bout dat deluxe life,[],415393383834603520
415393195087106048,Rihanna,"“@KekePalmer: I was going through my iTunes list of women, and I got so excited that I had all eight Rihanna albums! I adore her ☺️.” yasss",[],415388128237481984
415131534203449344,Rihanna,"“@_Chris_Rated_: Why Rih hiding her face in her last three insta pics?"" #thatdamnflash don't work with my eyes!","[{u'indices': [72, 86], u'text': u'thatdamnflash'}]",415130526287429632
414556184709169152,Rihanna,“@_Vaun: hey 😉😘 @rihanna.” My boo,[],414555596525142016
414552195787665408,Rihanna,@YewMadCunt happy belated birthday sugar pu$$!! Please pardon my tardiness!!,[],
414148296978886656,Rihanna,"It's fRIHday, navy! Tune in to #StyledtoRock on @bravotv and ask your fashion Qs to my girl @ErinWasson with #AskErin at 8 PST","[{u'indices': [31, 44], u'text': u'StyledtoRock'}, {u'indices': [109, 117], u'text': u'AskErin'}]",
412695827677986817,Rihanna,RT @Eminem: #TheMonster will also premiere simultaneously on @Vevo.  7:50pm EST.,"[{u'indices': [12, 23], u'text': u'TheMonster'}]",
412695770325061632,Rihanna,RT @Eminem: Broadcast premiere for #TheMonster video ft @rihanna on @ESPNNFL's Monday Night Countdown at 7:50pm EST. Right before the Detro…,"[{u'indices': [35, 46], u'text': u'TheMonster'}]",
412695656240009216,Rihanna,Damn I missed 420,[],
412584340644966400,Rihanna,TODAY is the day. #MONSTER #Video  #VEVO @Eminem,"[{u'indices': [18, 26], u'text': u'MONSTER'}, {u'indices': [27, 33], u'text': u'Video'}, {u'indices': [35, 40], u'text': u'VEVO'}]",
410821584208015360,Rihanna,Wow!! I cant tell yall how I'm shaking! I cant believe this!! You did this!! #13 number 1's! Where dey do dat at? Hardly! Yall epic az phuck,[],
410820638002413568,Rihanna,Ohhhhhh BOMBA!!!! #Jah RULE every ting!!!! We are #1 in this muthaPHUCKA!!!! @Eminem congrats to you and all the fans!!,"[{u'indices': [18, 22], u'text': u'Jah'}]",
410432115386638336,Rihanna,“@JoshPorter_: Rihanna is a history maker I swear. She was born to do this!! ICON shit.” And y'all were born to do it with me!!!,[],410429389688799232
410416020583899136,Rihanna,"RT @_shay12: @rihanna also, more records broken today. you just broke you tie with Mariah and now have the most #1s on radio song chart. #I…","[{u'indices': [112, 115], u'text': u'1s'}]",
410415910063964160,Rihanna,“@StefanSaxon: @rihanna lets talk about you breaking another record.” When? Today? Which onnneeee???,[],410415435105198080
410415547156037632,Rihanna,“@XSTROLOGY: #Pisces people are bipolar and don't know it.” Liiiiieeesss!!! I am COMPLETELY aware of my disorder!!,"[{u'indices': [13, 20], u'text': u'Pisces'}]",410411646419759105
410414105980600320,Rihanna,More snow today.... #WakeNBake #ChroniclesOfaCaribbeanGal #iHeartNY,"[{u'indices': [20, 30], u'text': u'WakeNBake'}, {u'indices': [31, 57], u'text': u'ChroniclesOfaCaribbeanGal'}, {u'indices': [58, 67], u'text': u'iHeartNY'}]",
409388421023424512,Rihanna,Saw #TheMONSTER Video yesterday! @Eminem U R 1 cool muthaphucka! Congrats on this record man &amp; THANKS to all of you who support us on iTunes,"[{u'indices': [4, 15], u'text': u'TheMONSTER'}]",
408727929636405248,Rihanna,#NelsonMandela you made your people proud!! We'll always love you for it!,"[{u'indices': [0, 14], u'text': u'NelsonMandela'}]",
407513772882817024,Rihanna,“@XSTROLOGY: #Pisces are the ones to go to if you need someone to talk to.” Start charging these heifers or nah?,"[{u'indices': [13, 20], u'text': u'Pisces'}]",407512520623403008
405949913156308992,Rihanna,Love the smell of NYC!,[],
405742231874576384,Rihanna,RT @AskDrRuth: I see Rihanna was dressed by Jean Paul Gautier for AMA's. He once designed outfit for me a rubber nurse suit. http://t.co/X6…,[],
405535946000441344,Rihanna,@Zendaya love you too! Keep shining!,[],405513821982179329
404999669337432065,Rihanna,“@ZinLoves: I just saw a woman walk in the office with her hair still wrapped in a professional office suit #TheRihannaImpact 😂😂” el eaux el,"[{u'indices': [108, 125], u'text': u'TheRihannaImpact'}]",404998743822700544
403962474241617920,Rihanna,Almost time for a new episode of #StyledtoRock! Tonight at 8/7c on @bravotv,"[{u'indices': [33, 46], u'text': u'StyledtoRock'}]",
401434840022544384,Rihanna,RT @chloefrahm: It's such a powerful video! Absolutely incredible 🙌,[],
401434316548235265,Rihanna,RT @uprising_create: The #WhatNow video we produced for @rihanna is out! Directed by @UPRISING_DARREN @jonnycrave + @jeff_uprising http://t…,"[{u'indices': [25, 33], u'text': u'WhatNow'}]",
401434004517158912,Rihanna,RT @KareemFenty: I was screaming to What Now in the car today cuz I got hyped after watching the video 🙌👏😭,[],
401433674945548288,Rihanna,RT @daily_rihnavy: @rihanna it was visually sickening!  #WhatNow,"[{u'indices': [56, 64], u'text': u'WhatNow'}]",
401433487732772864,Rihanna,"RT @TomasG4L: @rihanna I'm so proud of you, thank you for ALL ROBYN.",[],
401433362100805632,Rihanna,RT @cabby10: @rihanna the direction of the video is so unpredictable &amp; unique! Twisted yet beautiful! It made me love the song more if that…,[],
401432469716480000,Rihanna,"RT @JessieRiri: Thank you @rihanna for this video, you truly give me life once again.  #ThatRihannaReign","[{u'indices': [87, 104], u'text': u'ThatRihannaReign'}]",
401432012113731584,Rihanna,“@unapologeticunt: you did it again fave. i love it 🙌👏😌 @rihanna” #WhatNowMUSICVIDEO,"[{u'indices': [66, 84], u'text': u'WhatNowMUSICVIDEO'}]",401430447026364416
401431415142637568,Rihanna,RT @chloefrahm: what now video is so perfect omgggg,[],
400258103427362816,Rihanna,RT @RihannaDaily: @Rihanna Artist of the Year #AMAs,"[{u'indices': [46, 51], u'text': u'AMAs'}]",
400019868101386240,Rihanna,#DALLAS  I'm coming for you!! We've waited on this day FOREVERRR!!! #DiamondsWorldTour,"[{u'indices': [0, 7], u'text': u'DALLAS'}, {u'indices': [68, 86], u'text': u'DiamondsWorldTour'}]",
