id,posted_by,text,hashtags,in_reply_to_status_id
759022090280316928,Amitabh Bachchan,@ashokmistry4545 good evening,[],759011198197125122
759021916984217602,Amitabh Bachchan,RT @luvAmitabh: @SrBachchan 74 days to 🎂74🎂 My hero inspiration mentor &amp; idol. Lè best unbeatable &amp; perfect. Thank you for being you https:…,[],
759021877150883840,Amitabh Bachchan,@sowika71 absolutely,[],759012634205233152
759021783190163456,Amitabh Bachchan,@poothegr8 all is good,[],759013289703518209
759021707231236100,Amitabh Bachchan,@naidu_keshav yes yes,[],759013340534284289
759021626864246784,Amitabh Bachchan,@janshinye welcome,[],759013698417459200
759021565082165249,Amitabh Bachchan,@rumss indeed,[],759013764314243072
759021496362635268,Amitabh Bachchan,@KunalM73 i have been there,[],759014218003652609
759021254485483520,Amitabh Bachchan,@IMN00r yes 35 years.. My error,[],759015930273738752
759020914881155076,Amitabh Bachchan,@soumya_rp yes do,[],759016889154736128
759020697846898688,Amitabh Bachchan,@arvind1ahuja1 sort of,[],759017062664507392
759020653252968453,Amitabh Bachchan,@9cc19a35610b489 meaning,[],759017185519869954
759020522508214272,Amitabh Bachchan,@Beyeskay51 thank you so much,[],759019595420184582
759020470272299012,Amitabh Bachchan,@RAVISONI19 yes 35 years,[],759019778627428352
759003647233564672,Amitabh Bachchan,@sepideh2670 grateful,[],758641711383994368
758955708880596998,Amitabh Bachchan,@rashed_roby thank you,[],758948066942603264
758955488549580803,Amitabh Bachchan,@rashed_roby love,[],758948294198341632
758955179618082817,Amitabh Bachchan,@HODA_AdoreAB same to you,[],758949554943176704
758954699030605824,Amitabh Bachchan,@HODA_AdoreAB to you too,[],758949966874161156
758954575621558272,Amitabh Bachchan,@Ashabachchan good afternoon,[],758949995110248448
758954498828054532,Amitabh Bachchan,@ZicoNaik God willing,[],758950005247922177
758954249896153088,Amitabh Bachchan,@HODA_AdoreAB good ol times,[],758950108402622464
758953624244396032,Amitabh Bachchan,@alenushkaykina thank you,[],758884418798747649
758953446649192448,Amitabh Bachchan,@SnehalRajpal @sureshjumani love to all,[],752467626912284672
758953333235195904,Amitabh Bachchan,@israilbachchan nice,[],758950741373358080
758953270459064321,Amitabh Bachchan,@Ashabachchan great,[],758947306016083969
758953214808952832,Amitabh Bachchan,RT @luvAmitabh: @SrBachchan 74 days to 🎂74🎂 My hero inspiration mentor &amp; idol. Lè best unbeatable &amp; perfect. Thank you for being you https:…,[],
758953123125731328,Amitabh Bachchan,@israilbachchan love,[],758950988254294016
758952879734403072,Amitabh Bachchan,@MukherjiRatna should be ati sunder,[],758951178352758785
758952629808443394,Amitabh Bachchan,@ilanasegev37 yes ... Remember me,[],758951340886200321
758952497062907904,Amitabh Bachchan,RT @MosesSapir: @SrBachchan Amitabh ji With Ravi Tandon ji and Sanjeev Kumar ji on the set .What a beautiful film #34YearsOfKhuddaar https:…,"[{u'indices': [114, 132], u'text': u'34YearsOfKhuddaar'}]",
758952421963902977,Amitabh Bachchan,@addzz8 love,[],758951423845408769
758952367509245952,Amitabh Bachchan,@PrabirBhatt all well,[],758951428673015808
758952277327486988,Amitabh Bachchan,@_movie_cinema @ramdon007 so true,[],758948579318702081
758952104878759936,Amitabh Bachchan,@ZicoNaik yes important,[],758951515620913152
758951999329054720,Amitabh Bachchan,RT @sureshjumani: @SrBachchan Ji new icons on #Whatspp for all EF's around the world😁😘😳😔😅😊😋😇(sharing this artwork done by Unknown EF). http…,"[{u'indices': [46, 54], u'text': u'Whatspp'}]",
758951928634019840,Amitabh Bachchan,RT @luvAmitabh: @SrBachchan 74 days to 🎂74🎂 My hero inspiration mentor &amp; idol. Lè best unbeatable &amp; perfect. Thank you for being you https:…,[],
758951847470043137,Amitabh Bachchan,@ZicoNaik join in,[],758951610353496064
758951736396554240,Amitabh Bachchan,@MukherjiRatna thank you,[],758948049003552768
758951605475565568,Amitabh Bachchan,@alenushkayki love,[],
758951527906107392,Amitabh Bachchan,@hebabachchan good morning,[],758760956931497984
758951477763117056,Amitabh Bachchan,@nurdanyldz18 its morning now,[],758760237386129409
758951415330906113,Amitabh Bachchan,@alenushkaykina for what,[],758705211175305216
758951346917650433,Amitabh Bachchan,@israilbachchan thank you,[],758636462497599490
758951279980781568,Amitabh Bachchan,@rajroy001235 good evening,[],758356774411968512
758780544356265984,Amitabh Bachchan,@one_narjes thank you,[],758780156282560512
758780415238742018,Amitabh Bachchan,@mansi_lukka cool,[],758780222430904320
758780201438285824,Amitabh Bachchan,@Molly_Amitabh yes i do,[],758780035432062977
758779316993789952,Amitabh Bachchan,@madhuriac_786 thank you,[],758779021547057152
758779033806974976,Amitabh Bachchan,"RT @Thekkapoor: The health worker who goes to the interior, the villages,they r d ones to be honoured @SrBachchan ji on #Hepatitis https://…","[{u'indices': [120, 130], u'text': u'Hepatitis'}]",
758778920443314176,Amitabh Bachchan,@bigb21bigbshiv love and more ..,[],758778241633050624
758778839661023232,Amitabh Bachchan,"RT @NadkarAmit: @SrBachchan Amitji pays tribute to health workers, says ""honour and respect them
#WorldHepatitisDay2016 https://t.co/frSMZq…","[{u'indices': [97, 119], u'text': u'WorldHepatitisDay2016'}]",
758778713450229760,Amitabh Bachchan,@one_narjes yes i did,[],758778360499765248
758778668248248320,Amitabh Bachchan,@yokaabdelkader @GulshanGroverGG love,[],758778360927494151
758778416329924609,Amitabh Bachchan,@StLouisgirl123 @ParineetiChopra @GulshanGroverGG me too,[],758778342237614080
758777875864530944,Amitabh Bachchan,RT @NadkarAmit: @SrBachchan Steven Spielbergs the BFG Flim (Hindi) in cinemas from today watch #AmitabhBachchan as BADE FARISHTEJI  https:/…,"[{u'indices': [95, 111], u'text': u'AmitabhBachchan'}]",
758777808650809344,Amitabh Bachchan,RT @HODA_AdoreAB: @SrBachchan  GE our legend ..You are always working for others .. allah grant you good health and long life .. Ameen http…,[],
758775878809628672,Amitabh Bachchan,RT @Thekkapoor: T 1394 - Two legends of Bollywood in a textbook! Salman Khan &amp; Amitabh Bachchan sir. @SrBachchan @BeingSalmanKhan https://t…,[],
758775820525592576,Amitabh Bachchan,"RT @Thekkapoor: T1394-@SrBachchan sir pays tribute to health workers, says honour &amp; respect them
#WorldHepatitisDay . https://t.co/pghUMQcm…","[{u'indices': [101, 119], u'text': u'WorldHepatitisDay'}]",
758775780822224896,Amitabh Bachchan,"RT @Thekkapoor: The health worker who goes to the interior, the villages,they r d ones to be honoured @SrBachchan sir on #Hepatitis https:/…","[{u'indices': [121, 131], u'text': u'Hepatitis'}]",
758775744424054785,Amitabh Bachchan,RT @Thekkapoor: T1394-Powerful: I live with #Hepatitis B I have overcome #Tuberculosis ~ @SrBachchan sir on #WorldHepatitisDay https://t.co…,"[{u'indices': [44, 54], u'text': u'Hepatitis'}, {u'indices': [73, 86], u'text': u'Tuberculosis'}, {u'indices': [108, 126], u'text': u'WorldHepatitisDay'}]",
758775612836155392,Amitabh Bachchan,"RT @Thekkapoor: T1394-Diabetes, hepatitis are silent killers. We are unaware of their presence in our bodies.Get tested @SrBachchan https:/…",[],
758595400852996096,Amitabh Bachchan,@AashaBisht love,[],758592125105741824
758595125748592640,Amitabh Bachchan,@BeejalBhatt that's Agnipath,[],758592148639879168
758595053472407552,Amitabh Bachchan,@CokyCrazyByAB sure a flower for🌷🌹,[],758592150573580292
758594640685764609,Amitabh Bachchan,@SONIYALUVSU i did,[],758592166964912128
758594334824468480,Amitabh Bachchan,@MosesSapir errrr yes perhaps,[],758590896778649600
758594223159533568,Amitabh Bachchan,@BeejalBhatt love and smiles,[],758592251278733312
758593753871417344,Amitabh Bachchan,@SnehalRajpal love,[],758592348200833024
758593510593400832,Amitabh Bachchan,@NadkarAmit embarrassing love to you,[],758592389170601984
758593426602557440,Amitabh Bachchan,@one_narjes many thanks,[],758592416219889664
758593371996839936,Amitabh Bachchan,@ShameeraM ya will try ..,[],758592418749046784
758593283723501568,Amitabh Bachchan,@CokyCrazyByAB love and :)))),[],758592427838038016
758593165221920768,Amitabh Bachchan,@VoraEf thank you,[],758592069678075904
758593101187391488,Amitabh Bachchan,@I_RimjhimR all well,[],758592469470736385
